weightString,weight,title,content,remarks,remarks
二兩一,2.1,一生衣食奔波勞碌之命,短命非業謂大凶，\n平生災難事重重；\n凶禍頻臨陷逆境，\n終世困苦事不成。,,
二兩二,2.2,幼年勞碌中年清泰之命,身寒骨冷苦伶仃，\n此命推來行乞人；\n勞勞碌碌難度日，\n終年打拱過平生。,,
二兩三,2.3,先難後易出外求人之命,此命推來骨格輕，\n求謀作事事難成；\n妻兒子女應難許，\n別處他鄉作散人。,,
二兩四,2.4,智巧多能離家求食之命,此命推來福祿無，\n門庭困苦總難榮；\n六親骨肉皆無靠，\n流浪他鄉作老翁。,,
二兩五,2.5,身閒心不閒九流藝術之命,命推來福祖業微，\n庭困營度似稀奇；\n六親骨肉如冰炭，\n一世勤勞自把持。,,
二兩六,2.6,先貧後富勞碌之命,平生衣祿苦中求，\n獨自營謀事不休；\n離祖出門宜早計，\n晚來衣食自無憂。,,
二兩七,2.7,聰明近貴衣祿之命,一生作事少商量，\n難靠祖宗作主張；\n獨馬單槍空做去，\n早年晚歲總無長。,,
二兩八,2.8,自卓為人才能近貴之命,一生行事似飄蓬，\n祖宗產業在夢中；\n若不過房併改姓，\n也當移徙二三通。,,
二兩九,2.9,客商才能達變智慧之命,初年運限未能通，\n縱有功名在後成；\n須過四旬才可立，\n移居改姓始為良。,,
三兩,3,衣食有餘近貴成家之命,勞勞碌碌苦中求，\n東奔西走何日休；\n若能終身勤與儉，\n老來稍可免憂愁。,,
三兩一,3.1,先貧後富近貴衣食足用之命,忙忙碌碌苦中求，\n何日雲開見日頭；\n難得祖基家可立，\n中年衣食漸無憂。,,
三兩二,3.2,性巧過人衣食到老近貴之命,初年運蹇事難謀，\n漸有財源如水流；\n到得中年衣食旺，\n那時名利一齊收。,,
三兩三,3.3,衣食豐滿富貴根基之命,早年做事事難成，\n百計勤勞枉費心；\n半世自如流水去，\n後來運到始得金。,,
三兩四,3.4,財穀有餘主得內助富貴之命,此命福氣果如何，\n僧道門中衣祿多；\n離祖出家方為妙，\n朝晚拜佛念彌陀。,,
三兩五,3.5,先難後易過房入贅近貴之命,生平福量不周全，\n祖業根基覺少傳；\n營事生涯宜守舊，\n時來衣食勝從前。,,
三兩六,3.6,超群拔類衣祿厚重之命,不須勞碌過平生，\n獨自成家福不輕；\n早有福星常照命，\n任君行去百般成。,,
三兩七,3.7,聰明富貴有福壽之命,此命般般事不成，\n弟兄少力自孤行；\n縱然祖業雖微有，\n來得明時去不明。,,
三兩八,3.8,財帛豐厚宜稱之命,一生骨肉最清高，\n早入黌門姓名標；\n待到年將三十六，\n藍衣脫去換紅袍。,,
三兩九,3.9,利上近貴有福有祿之命,此命終身運不通，\n勞勞作事盡皆空；\n苦心竭力成家計，\n到得那時在夢中。,,
四兩,4,富貴近益生匯鼎盛機關之命,平生衣祿是綿長，\n件件心中自主張；\n前面風霜多受過，\n後來必定享安康。,,
四兩一,4.1,稅戶近貴專才衣祿之命,此命推來是不同，\n為人能幹異凡庸；\n中年還有逍遙福，\n不比前年運未通。,,
四兩二,4.2,兵權有職富貴才能之命,得寬懷處且寬懷，\n何用雙眉皺不開；\n若使中年命運濟，\n那時名利一齊來。,,
四兩三,4.3,財祿厚重白手成家之命,為人心性最聰明，\n作事軒昂近貴人；\n衣祿一生天數定，\n不須勞碌是豐亨。,,
四兩四,4.4,才能好學近貴財祿之命,萬事由天莫苦求，\n須知福祿賴人修；\n中年財帛難如意，\n晚景欣然便不憂。,,
四兩五,4.5,福祿豐盈極富且貴之命,名利推來竟若何，\n前番辛苦後奔波；\n命中難養男與女，\n骨肉扶持也不多。,,
四兩六,4.6,富貴有餘福壽雙全之命,東南西北盡皆通，\n出姓移居更覺隆；\n衣祿無虧天數定，\n中年晚景一般同。,,
四兩七,4.7,高官厚祿學業飽滿之命,此命推來旺末年，\n妻榮子貴自怡然；\n平生原有滔滔福，\n可有財源若水泉。,,
四兩八,4.8,官員財祿厚重之命,幼年運道未能通，\n若是蹉跎命不同；\n兄弟六親皆無靠，\n一身事業晚來隆。,,
四兩九,4.9,性巧精乖倉庫財祿之命,此命推來福不輕，\n自成自立顯門庭；\n從來富貴人親近，\n使婢差奴過一生。,,
五兩,5,文武才能財穀豐富之命,為利為名終日勞，\n中年福祿也多遭；\n老年自有財星照，\n不比前番目下高。,,
五兩一,5.1,官職財祿榮民富貴之命,一世榮華事事通，\n不須勞苦自亨通；\n弟兄叔侄皆如意，\n家業成時福祿宏。,,
五兩二,5.2,掌握兵權富貴長壽之命,一世亨通事事能，\n不須勞苦自然寧；\n宗族欣然福祿多，\n家業豐亨自稱心。,,
五兩三,5.3,僧道門中近貴之命,此格推來福祿宏，\n興家發達在其中；\n一生衣食安排定，\n卻是人間一富翁。,,
五兩四,5.4,有權威富貴財祿之命,此命推來厚且清，\n詩書滿腹功業成；\n豐衣足食自然穩，\n正是人間有福人。,,
五兩五,5.5,官職財祿豐堅之命,走馬揚鞭爭利名，\n少年做事費評論；\n一朝福祿源源至，\n富貴榮華顯六親。,,
五兩六,5.6,官職長享榮華富貴之命,此格推來禮義通，\n一生福祿用無窮；\n甜酸苦辣皆嚐過，\n財源滾滾穩且通。,,
五兩七,5.7,官職文章壓眾精通之命,福祿豐盈萬事全，\n一生榮耀顯雙親；\n名揚威振人欽敬，\n處世逍遙似神仙。,,
五兩八,5.8,官祿旺相才能性直富貴之命,平生福祿自然來，\n名利兼全福壽偕；\n雁塔題名為貴客，\n紫袍玉帶走金階。,,
五兩九,5.9,官職財祿厚重之命,細推此格秀且清，\n必定財高學業成；\n甲第之中應有分，\n揚鞭走馬顯威榮。,,
六兩,6,官職榮華福壽財祿之命,一朝金榜快題名，\n顯祖榮官大器成；\n衣食自然豐裕足，\n田園財帛更豐盈。,,
六兩一,6.1,官掌風雷權柄之命,不作朝中金榜客，\n官為世上一財翁；\n聰明天賦經書熟，\n名顯高科自是榮。,,
六兩二,6.2,官職有權柄之命命,此命生來福不窮，\n讀書必定顯親族；\n紫衣金帶為卿相，\n富貴榮華皆可同。,,
六兩三,6.3,指揮太守萬戶封侯之命,命主為官福祿長，\n得來富貴定非常；\n名題雁塔傳金榜，\n顯耀門庭天下揚。,,
六兩四,6.4,官職尚書侍郎之命,此命威權不可當，\n紫袍金帶坐高堂；\n榮華富貴誰能及，\n百世留名姓氏揚。,,
六兩五,6.5,威權無盡財福祿全之命,細推此命福不輕，\n富貴榮華孰與爭；\n定國安邦榮品人，\n威聲顯赫四方聞。,,
六兩六,6.6,公侯駙馬丞相之命,此格人間一福人，\n堆金積玉滿堂春；\n從來富貴由天定，\n金榜題名謁聖君。,,
六兩七,6.7,英名冠世萬國來朝上格之命,此命生來福自宏，\n田園家業最高隆；\n平生衣祿豐盈足，\n一代榮華萬事通。,,
六兩八,6.8,溫和幸福富貴極吉之命,福貴由天莫苦求，\n萬金家計不須謀；\n十年不比前番事，\n祖業根基水上舟。,,
六兩九,6.9,受職高位功名顯達之命,君是人間衣祿星，\n一生富貴眾人欽；\n縱然福祿由天定，\n安享榮華過一生。,,
七兩,7,權力共備志望上流之命,此命推來福非輕，\n不須愁慮苦勞心；\n一生天定衣祿興，\n富貴榮華主一生。,,
七兩一,7.1,大志大業勢如破竹之命,此命生成大不同，\n公侯卿相在其中；\n一生自有逍遙福，\n富貴榮華極品隆。,,
